cnae_principal_,data_incio_atividade
Atividade odontológica,2023-12-12
Atividade odontológica,2023-12-12
Atividade odontológica,2023-12-12
Atividades de fisioterapia,2023-12-12
Atividades de contabilidade,2023-12-12
Atividades de contabilidade,2023-12-12
Atividades de contabilidade,2023-12-13
Atividades de fisioterapia,2023-12-13
Atividades de contabilidade,2023-12-13
Atividades de contabilidade,2023-12-04
Atividades de fisioterapia,2023-12-13
Atividades de contabilidade,2023-12-13
Atividade odontológica,2023-12-13
Atividade odontológica,2023-12-13
Atividades de fisioterapia,2023-12-13
Atividade odontológica,2023-12-13
Atividades de contabilidade,2023-12-13
Atividade odontológica,2023-12-13
Atividade odontológica,2023-12-14
Atividades de fisioterapia,2023-12-14
Atividade odontológica,2023-12-14
Atividades de contabilidade,2023-12-14
Atividade odontológica,2023-12-14
Atividade odontológica,2023-12-14
Atividade odontológica,2023-12-14
Atividade odontológica,2023-12-15
Atividades de contabilidade,2023-12-15
Atividades de fisioterapia,2023-12-15
Atividades de contabilidade,2023-12-15
Atividade odontológica,2023-12-15
Atividades de fisioterapia,2023-12-15
Atividade odontológica,2023-12-15
Atividades de contabilidade,2023-12-15
Atividade odontológica,2023-12-15
Atividades de contabilidade,2023-12-16
Atividades de fisioterapia,2023-12-18
Atividades de contabilidade,2023-12-18
Atividades de fisioterapia,2023-12-18
Atividades de contabilidade,2023-12-18
Atividade odontológica,2023-12-18
Atividades de fisioterapia,2023-12-18
Atividades de contabilidade,2023-12-18
Atividades de fisioterapia,2023-12-18
Atividades de contabilidade,2023-12-18
Atividades de contabilidade,2023-12-18
Atividade odontológica,2023-12-19
Atividade odontológica,2023-12-19
Atividade odontológica,2023-12-19
Atividades de contabilidade,2023-12-19
Atividade odontológica,2023-12-19
Atividade odontológica,2023-12-19
Atividade odontológica,2023-12-19
Atividade odontológica,2023-12-19
Atividade odontológica,2023-12-18
Atividade odontológica,2023-12-19
Atividade odontológica,2023-12-19
Atividade odontológica,2023-12-19
Atividades de contabilidade,2023-12-19
Atividade odontológica,2023-12-20
Atividades de fisioterapia,2023-12-20
Atividade odontológica,2023-12-20
Atividade odontológica,2023-12-20
Atividades de fisioterapia,2023-12-20
Atividade odontológica,2023-12-20
Atividade odontológica,2023-12-20
Atividade odontológica,2023-12-21
Atividade odontológica,2023-12-21
Atividades de fisioterapia,2023-12-21
Atividades de contabilidade,2023-12-21
Atividade odontológica,2023-12-21
Atividades de fisioterapia,2023-12-21
Atividade odontológica,2023-12-21
Atividade odontológica,2023-12-21
Atividades de fisioterapia,2023-12-21
Atividades de contabilidade,2023-12-22
Atividade odontológica,2023-12-22
Atividade odontológica,2023-12-22
Atividades de fisioterapia,2023-12-22
Atividades de fisioterapia,2023-12-22
Atividades de fisioterapia,2023-12-22
Atividade odontológica,2023-12-23
Atividades de fisioterapia,2023-12-26
Atividades de contabilidade,2023-12-26
Atividade odontológica,2023-12-26
Atividades de fisioterapia,2023-12-26
Atividade odontológica,2023-12-27
Atividade odontológica,2023-12-27
Atividade odontológica,2023-12-27
Atividades de fisioterapia,2023-12-27
Atividade odontológica,2023-12-27
Atividades de fisioterapia,2023-12-27
Atividades de fisioterapia,2023-12-28
Atividades de fisioterapia,2023-12-28
Atividade odontológica,2023-12-28
Atividades de contabilidade,2023-12-28
Atividades de contabilidade,2023-12-29
Atividade odontológica,2023-12-29
Atividades de contabilidade,2023-12-29
Atividades de fisioterapia,2023-12-29
Atividade odontológica,2024-01-02
Atividade odontológica,2024-01-02
Atividades de contabilidade,2024-01-02
Atividades de contabilidade,2024-01-03
Atividades de fisioterapia,2024-01-03
Atividade odontológica,2024-01-03
Atividades de contabilidade,2024-01-03
Atividades de contabilidade,2024-01-03
Atividades de fisioterapia,2024-01-03
Atividades de contabilidade,2024-01-03
Atividades de contabilidade,2024-01-03
Atividades de contabilidade,2024-01-04
Atividade odontológica,2024-01-04
Atividades de contabilidade,2024-01-04
Atividades de contabilidade,2024-01-04
Atividade odontológica,2024-01-04
Atividades de fisioterapia,2024-01-04
Atividades de fisioterapia,2024-01-04
Atividades de fisioterapia,2024-01-04
Atividades de contabilidade,2024-01-04
Atividades de fisioterapia,2024-01-04
Atividades de contabilidade,2024-01-04
Atividade odontológica,2023-12-13
Atividade odontológica,2024-01-05
Atividades de contabilidade,2024-01-05
Atividade odontológica,2024-01-05
Atividade odontológica,2024-01-05
Atividades de fisioterapia,2024-01-05
Atividades de contabilidade,2024-01-05
Atividade odontológica,2024-01-05
Atividades de fisioterapia,2024-01-05
Atividade odontológica,2024-01-08
Atividades de contabilidade,2024-01-08
Atividade odontológica,2024-01-08
Atividade odontológica,2024-01-08
Atividades de fisioterapia,2024-01-08
Atividade odontológica,2024-01-08
Atividades de contabilidade,2024-01-08
Atividades de contabilidade,2024-01-08
Atividades de fisioterapia,2024-01-08
Atividade odontológica,2024-01-09
Atividades de fisioterapia,2024-01-09
Atividades de contabilidade,2024-01-09
Atividade odontológica,2024-01-09
Atividades de fisioterapia,2024-01-09
Atividade odontológica,2024-01-09
Atividades de fisioterapia,2024-01-09
Atividades de contabilidade,2024-01-10
Atividades de fisioterapia,2024-01-10
Atividades de contabilidade,2024-01-10
Atividades de contabilidade,2024-01-10
Atividade odontológica,2024-01-10
Atividades de contabilidade,2024-01-10
Atividade odontológica,2024-01-10
Atividades de contabilidade,2024-01-10
Atividades de contabilidade,2024-01-10
Atividade odontológica,2024-01-10
Atividade odontológica,2024-01-10
Atividade odontológica,2024-01-10
Atividades de contabilidade,2024-01-10
